,block_name,cpu_b,cpu_s,gpu
109,expanded_conv-input:2x2x24-output:2x2x40-expand:6-kernel:7-stride:1-idskip:0,0.0989771,0.230419,0.494586
110,expanded_conv-input:2x2x24-output:1x1x40-expand:3-kernel:3-stride:2-idskip:0,0.0409252,0.0866148,0.196094
111,expanded_conv-input:2x2x24-output:1x1x40-expand:6-kernel:3-stride:2-idskip:0,0.0597858,0.122315,0.265867
112,expanded_conv-input:2x2x24-output:1x1x40-expand:3-kernel:5-stride:2-idskip:0,0.0445681,0.101602,0.175559
113,expanded_conv-input:2x2x24-output:1x1x40-expand:6-kernel:5-stride:2-idskip:0,0.0698498,0.160348,0.244212
114,expanded_conv-input:2x2x24-output:1x1x40-expand:3-kernel:7-stride:2-idskip:0,0.0505123,0.117724,0.185595
115,expanded_conv-input:2x2x24-output:1x1x40-expand:6-kernel:7-stride:2-idskip:0,0.0815456,0.18736,0.278288
116,expanded_conv-input:32x32x24-output:32x32x80-expand:3-kernel:3-stride:1-idskip:0,1.17532,1.659,3.62186
117,expanded_conv-input:32x32x24-output:32x32x80-expand:6-kernel:3-stride:1-idskip:0,2.30762,3.01507,6.87603
118,expanded_conv-input:32x32x24-output:32x32x80-expand:3-kernel:5-stride:1-idskip:0,1.2344,1.99183,3.80063
119,expanded_conv-input:32x32x24-output:32x32x80-expand:6-kernel:5-stride:1-idskip:0,2.62569,3.53097,7.28282
120,expanded_conv-input:32x32x24-output:32x32x80-expand:3-kernel:7-stride:1-idskip:0,2.02218,3.05312,4.4512
121,expanded_conv-input:32x32x24-output:32x32x80-expand:6-kernel:7-stride:1-idskip:0,4.01737,5.75443,8.56277
122,expanded_conv-input:32x32x24-output:16x16x80-expand:3-kernel:3-stride:2-idskip:0,0.496636,0.935997,1.74501
123,expanded_conv-input:32x32x24-output:16x16x80-expand:6-kernel:3-stride:2-idskip:0,0.94916,1.63672,3.1537
124,expanded_conv-input:32x32x24-output:16x16x80-expand:3-kernel:5-stride:2-idskip:0,0.595626,1.18072,1.82727
125,expanded_conv-input:32x32x24-output:16x16x80-expand:6-kernel:5-stride:2-idskip:0,1.30139,2.4163,3.41251
126,expanded_conv-input:32x32x24-output:16x16x80-expand:3-kernel:7-stride:2-idskip:0,0.742322,1.56128,2.03438
127,expanded_conv-input:32x32x24-output:16x16x80-expand:6-kernel:7-stride:2-idskip:0,1.58093,2.87227,3.83269
128,expanded_conv-input:16x16x24-output:16x16x80-expand:3-kernel:3-stride:1-idskip:0,0.38046,0.460662,1.16595
129,expanded_conv-input:16x16x24-output:16x16x80-expand:6-kernel:3-stride:1-idskip:0,0.467548,0.99119,2.07867
130,expanded_conv-input:16x16x24-output:16x16x80-expand:3-kernel:5-stride:1-idskip:0,0.345863,0.518398,1.16191
131,expanded_conv-input:16x16x24-output:16x16x80-expand:6-kernel:5-stride:1-idskip:0,0.598055,1.06393,2.15487
132,expanded_conv-input:16x16x24-output:16x16x80-expand:3-kernel:7-stride:1-idskip:0,0.52946,0.899406,1.34698
133,expanded_conv-input:16x16x24-output:16x16x80-expand:6-kernel:7-stride:1-idskip:0,0.912746,1.86084,2.45954
134,expanded_conv-input:16x16x24-output:8x8x80-expand:3-kernel:3-stride:2-idskip:0,0.179936,0.281587,0.671089
135,expanded_conv-input:16x16x24-output:8x8x80-expand:6-kernel:3-stride:2-idskip:0,0.258312,0.452473,1.17158
136,expanded_conv-input:16x16x24-output:8x8x80-expand:3-kernel:5-stride:2-idskip:0,0.211298,0.345485,0.786965
137,expanded_conv-input:16x16x24-output:8x8x80-expand:6-kernel:5-stride:2-idskip:0,0.331017,0.599565,1.20066
138,expanded_conv-input:16x16x24-output:8x8x80-expand:3-kernel:7-stride:2-idskip:0,0.243098,0.418695,0.793972
139,expanded_conv-input:16x16x24-output:8x8x80-expand:6-kernel:7-stride:2-idskip:0,0.406153,0.693628,1.33954
140,expanded_conv-input:8x8x24-output:8x8x80-expand:3-kernel:3-stride:1-idskip:0,0.140623,0.234859,0.544903
141,expanded_conv-input:8x8x24-output:8x8x80-expand:6-kernel:3-stride:1-idskip:0,0.183124,0.304444,0.979527
142,expanded_conv-input:8x8x24-output:8x8x80-expand:3-kernel:5-stride:1-idskip:0,0.155595,0.247242,0.530554
143,expanded_conv-input:8x8x24-output:8x8x80-expand:6-kernel:5-stride:1-idskip:0,0.216681,0.342385,0.985237
144,expanded_conv-input:8x8x24-output:8x8x80-expand:3-kernel:7-stride:1-idskip:0,0.214347,0.347398,0.675609
145,expanded_conv-input:8x8x24-output:8x8x80-expand:6-kernel:7-stride:1-idskip:0,0.324277,0.513033,1.0315
146,expanded_conv-input:8x8x24-output:4x4x80-expand:3-kernel:3-stride:2-idskip:0,0.108818,0.199426,0.401339
147,expanded_conv-input:8x8x24-output:4x4x80-expand:6-kernel:3-stride:2-idskip:0,0.131264,0.228337,0.620706
148,expanded_conv-input:8x8x24-output:4x4x80-expand:3-kernel:5-stride:2-idskip:0,0.123012,0.233438,0.39977
149,expanded_conv-input:8x8x24-output:4x4x80-expand:6-kernel:5-stride:2-idskip:0,0.155569,0.308524,0.687292
150,expanded_conv-input:8x8x24-output:4x4x80-expand:3-kernel:7-stride:2-idskip:0,0.13258,0.266063,0.416546
151,expanded_conv-input:8x8x24-output:4x4x80-expand:6-kernel:7-stride:2-idskip:0,0.178838,0.609165,0.649807
152,expanded_conv-input:4x4x24-output:4x4x80-expand:3-kernel:3-stride:1-idskip:0,0.0993518,0.203022,0.322452
153,expanded_conv-input:4x4x24-output:4x4x80-expand:6-kernel:3-stride:1-idskip:0,0.113088,0.207671,0.514348
154,expanded_conv-input:4x4x24-output:4x4x80-expand:3-kernel:5-stride:1-idskip:0,0.0993138,0.191297,0.31612
155,expanded_conv-input:4x4x24-output:4x4x80-expand:6-kernel:5-stride:1-idskip:0,0.122203,0.215706,0.53842
156,expanded_conv-input:4x4x24-output:4x4x80-expand:3-kernel:7-stride:1-idskip:0,0.123497,0.256708,0.360877
157,expanded_conv-input:4x4x24-output:4x4x80-expand:6-kernel:7-stride:1-idskip:0,0.158362,0.327113,0.545359
158,expanded_conv-input:4x4x24-output:2x2x80-expand:3-kernel:3-stride:2-idskip:0,0.0898786,0.165334,0.350464
159,expanded_conv-input:4x4x24-output:2x2x80-expand:6-kernel:3-stride:2-idskip:0,0.0970404,0.18488,0.513748
160,expanded_conv-input:4x4x24-output:2x2x80-expand:3-kernel:5-stride:2-idskip:0,0.0963492,0.184315,0.377853
161,expanded_conv-input:4x4x24-output:2x2x80-expand:6-kernel:5-stride:2-idskip:0,0.10532,0.228694,0.463781
162,expanded_conv-input:4x4x24-output:2x2x80-expand:3-kernel:7-stride:2-idskip:0,0.100465,0.201398,0.361527
163,expanded_conv-input:4x4x24-output:2x2x80-expand:6-kernel:7-stride:2-idskip:0,0.119048,0.249236,0.477953
164,expanded_conv-input:2x2x24-output:2x2x80-expand:3-kernel:3-stride:1-idskip:0,0.0735234,0.143538,0.367401
165,expanded_conv-input:2x2x24-output:2x2x80-expand:6-kernel:3-stride:1-idskip:0,0.106391,0.162514,0.487839
166,expanded_conv-input:2x2x24-output:2x2x80-expand:3-kernel:5-stride:1-idskip:0,0.0742452,0.146705,0.358272
167,expanded_conv-input:2x2x24-output:2x2x80-expand:6-kernel:5-stride:1-idskip:0,0.0944023,0.181162,0.495298
168,expanded_conv-input:2x2x24-output:2x2x80-expand:3-kernel:7-stride:1-idskip:0,0.0836529,0.169424,0.37291
169,expanded_conv-input:2x2x24-output:2x2x80-expand:6-kernel:7-stride:1-idskip:0,0.112239,0.22547,0.565219
170,expanded_conv-input:2x2x24-output:1x1x80-expand:3-kernel:3-stride:2-idskip:0,0.0610619,0.128036,0.190108
171,expanded_conv-input:2x2x24-output:1x1x80-expand:6-kernel:3-stride:2-idskip:0,0.0772844,0.159138,0.258475
172,expanded_conv-input:2x2x24-output:1x1x80-expand:3-kernel:5-stride:2-idskip:0,0.0645021,0.133483,0.228234
173,expanded_conv-input:2x2x24-output:1x1x80-expand:6-kernel:5-stride:2-idskip:0,0.0964907,0.173768,0.244207
174,expanded_conv-input:2x2x24-output:1x1x80-expand:3-kernel:7-stride:2-idskip:0,0.0703544,0.147367,0.24041
175,expanded_conv-input:2x2x24-output:1x1x80-expand:6-kernel:7-stride:2-idskip:0,0.100472,0.206089,0.283875
176,expanded_conv-input:32x32x24-output:32x32x96-expand:3-kernel:3-stride:1-idskip:0,1.16058,1.71395,4.02372
177,expanded_conv-input:32x32x24-output:32x32x96-expand:6-kernel:3-stride:1-idskip:0,2.51337,3.11079,7.67508
178,expanded_conv-input:32x32x24-output:32x32x96-expand:3-kernel:5-stride:1-idskip:0,1.25638,2.05472,4.19989
179,expanded_conv-input:32x32x24-output:32x32x96-expand:6-kernel:5-stride:1-idskip:0,2.72734,3.7351,8.09316
180,expanded_conv-input:32x32x24-output:32x32x96-expand:3-kernel:7-stride:1-idskip:0,2.034,3.05078,4.83388
181,expanded_conv-input:32x32x24-output:32x32x96-expand:6-kernel:7-stride:1-idskip:0,4.3818,5.76345,9.38184
182,expanded_conv-input:32x32x24-output:16x16x96-expand:3-kernel:3-stride:2-idskip:0,0.490213,0.927943,2.00002
