block_name,time
expanded_conv-input:32x32x24-output:16x16x40-expand:6-kernel:5-stride:2-idskip:0,2.91281
expanded_conv-input:32x32x24-output:16x16x40-expand:3-kernel:7-stride:2-idskip:0,1.78313
expanded_conv-input:32x32x24-output:16x16x40-expand:6-kernel:7-stride:2-idskip:0,3.28629
expanded_conv-input:16x16x24-output:16x16x40-expand:3-kernel:3-stride:1-idskip:0,0.918515
expanded_conv-input:16x16x24-output:16x16x40-expand:6-kernel:3-stride:1-idskip:0,1.6313
expanded_conv-input:16x16x24-output:16x16x40-expand:3-kernel:5-stride:1-idskip:0,0.929527
expanded_conv-input:16x16x24-output:16x16x40-expand:6-kernel:5-stride:1-idskip:0,1.67959
expanded_conv-input:16x16x24-output:16x16x40-expand:3-kernel:7-stride:1-idskip:0,1.06498
expanded_conv-input:16x16x24-output:16x16x40-expand:6-kernel:7-stride:1-idskip:0,1.91548
expanded_conv-input:16x16x24-output:8x8x40-expand:3-kernel:3-stride:2-idskip:0,0.592939
expanded_conv-input:16x16x24-output:8x8x40-expand:6-kernel:3-stride:2-idskip:0,0.919306
expanded_conv-input:16x16x24-output:8x8x40-expand:3-kernel:5-stride:2-idskip:0,0.545181
expanded_conv-input:16x16x24-output:8x8x40-expand:6-kernel:5-stride:2-idskip:0,0.989293
expanded_conv-input:16x16x24-output:8x8x40-expand:3-kernel:7-stride:2-idskip:0,0.702621
expanded_conv-input:16x16x24-output:8x8x40-expand:6-kernel:7-stride:2-idskip:0,1.06537
expanded_conv-input:8x8x24-output:8x8x40-expand:3-kernel:3-stride:1-idskip:0,0.441964
expanded_conv-input:8x8x24-output:8x8x40-expand:6-kernel:3-stride:1-idskip:0,0.703102
expanded_conv-input:8x8x24-output:8x8x40-expand:3-kernel:5-stride:1-idskip:0,0.451333
expanded_conv-input:8x8x24-output:8x8x40-expand:6-kernel:5-stride:1-idskip:0,0.717642
expanded_conv-input:8x8x24-output:8x8x40-expand:3-kernel:7-stride:1-idskip:0,0.542424
expanded_conv-input:8x8x24-output:8x8x40-expand:6-kernel:7-stride:1-idskip:0,0.779961
expanded_conv-input:8x8x24-output:4x4x40-expand:3-kernel:3-stride:2-idskip:0,0.414667
expanded_conv-input:8x8x24-output:4x4x40-expand:6-kernel:3-stride:2-idskip:0,0.611841
expanded_conv-input:8x8x24-output:4x4x40-expand:3-kernel:5-stride:2-idskip:0,0.376692
expanded_conv-input:8x8x24-output:4x4x40-expand:6-kernel:5-stride:2-idskip:0,0.658149
expanded_conv-input:8x8x24-output:4x4x40-expand:3-kernel:7-stride:2-idskip:0,0.408686
expanded_conv-input:8x8x24-output:4x4x40-expand:6-kernel:7-stride:2-idskip:0,0.721766
expanded_conv-input:4x4x24-output:4x4x40-expand:3-kernel:3-stride:1-idskip:0,0.359631
expanded_conv-input:4x4x24-output:4x4x40-expand:6-kernel:3-stride:1-idskip:0,0.507179
expanded_conv-input:4x4x24-output:4x4x40-expand:3-kernel:5-stride:1-idskip:0,0.363575
expanded_conv-input:4x4x24-output:4x4x40-expand:6-kernel:5-stride:1-idskip:0,0.504629
expanded_conv-input:4x4x24-output:4x4x40-expand:3-kernel:7-stride:1-idskip:0,0.369806
expanded_conv-input:4x4x24-output:4x4x40-expand:6-kernel:7-stride:1-idskip:0,0.555052
expanded_conv-input:4x4x24-output:2x2x40-expand:3-kernel:3-stride:2-idskip:0,0.31659
expanded_conv-input:4x4x24-output:2x2x40-expand:6-kernel:3-stride:2-idskip:0,0.524004
expanded_conv-input:4x4x24-output:2x2x40-expand:3-kernel:5-stride:2-idskip:0,0.364733
expanded_conv-input:4x4x24-output:2x2x40-expand:6-kernel:5-stride:2-idskip:0,0.546426
expanded_conv-input:4x4x24-output:2x2x40-expand:3-kernel:7-stride:2-idskip:0,0.329025
